================================================================
   TABLE DE MAPPING DES ICÔNES -- Feather -> Lucide
   @gladysassistant/theme-optimized
================================================================

Date           : 10/03/2026 23:51:26
[=] IDENTIQUE fe-instagram                    icon-instagram
[=] IDENTIQUE fe-italic                       icon-italic
[=] IDENTIQUE fe-layers                       icon-layers
[=] IDENTIQUE fe-layout                       icon-layout
[=] IDENTIQUE fe-life-buoy                    icon-life-buoy
[=] IDENTIQUE fe-link                         icon-link
[=] IDENTIQUE fe-link-2                       icon-link-2
[=] IDENTIQUE fe-linkedin                     icon-linkedin
[=] IDENTIQUE fe-list                         icon-list
[=] IDENTIQUE fe-loader                       icon-loader
[=] IDENTIQUE fe-lock                         icon-lock
[=] IDENTIQUE fe-log-in                       icon-log-in
[=] IDENTIQUE fe-log-out                      icon-log-out
[=] IDENTIQUE fe-mail                         icon-mail
[=] IDENTIQUE fe-map                          icon-map
[=] IDENTIQUE fe-map-pin                      icon-map-pin
[=] IDENTIQUE fe-maximize                     icon-maximize
[=] IDENTIQUE fe-maximize-2                   icon-maximize-2
[=] IDENTIQUE fe-menu                         icon-menu
[=] IDENTIQUE fe-message-circle               icon-message-circle
[=] IDENTIQUE fe-message-square               icon-message-square
[=] IDENTIQUE fe-mic                          icon-mic
[=] IDENTIQUE fe-mic-off                      icon-mic-off
[=] IDENTIQUE fe-minimize                     icon-minimize
[=] IDENTIQUE fe-minimize-2                   icon-minimize-2
[=] IDENTIQUE fe-minus                        icon-minus
[>] RENOMMEE  fe-minus-circle                 icon-circle-minus
[>] RENOMMEE  fe-minus-square                 icon-square-minus
[=] IDENTIQUE fe-monitor                      icon-monitor
[=] IDENTIQUE fe-moon                         icon-moon
[>] RENOMMEE  fe-more-horizontal              icon-ellipsis
[>] RENOMMEE  fe-more-vertical                icon-ellipsis-vertical
[=] IDENTIQUE fe-move                         icon-move
[=] IDENTIQUE fe-music                        icon-music
[=] IDENTIQUE fe-navigation                   icon-navigation
[=] IDENTIQUE fe-navigation-2                 icon-navigation-2
[=] IDENTIQUE fe-octagon                      icon-octagon
[=] IDENTIQUE fe-package                      icon-package
[=] IDENTIQUE fe-paperclip                    icon-paperclip
[=] IDENTIQUE fe-pause                        icon-pause
[>] RENOMMEE  fe-pause-circle                 icon-circle-pause
[=] IDENTIQUE fe-percent                      icon-percent
[=] IDENTIQUE fe-phone                        icon-phone
[=] IDENTIQUE fe-phone-call                   icon-phone-call
[=] IDENTIQUE fe-phone-forwarded              icon-phone-forwarded
[=] IDENTIQUE fe-phone-incoming               icon-phone-incoming
[=] IDENTIQUE fe-phone-missed                 icon-phone-missed
[=] IDENTIQUE fe-phone-off                    icon-phone-off
[=] IDENTIQUE fe-phone-outgoing               icon-phone-outgoing
[=] IDENTIQUE fe-pie-chart                    icon-pie-chart
[=] IDENTIQUE fe-play                         icon-play
[>] RENOMMEE  fe-play-circle                  icon-circle-play
[=] IDENTIQUE fe-plus                         icon-plus
[>] RENOMMEE  fe-plus-circle                  icon-circle-plus
[>] RENOMMEE  fe-plus-square                  icon-square-plus
[=] IDENTIQUE fe-pocket                       icon-pocket
[=] IDENTIQUE fe-power                        icon-power
[=] IDENTIQUE fe-printer                      icon-printer
[=] IDENTIQUE fe-radio                        icon-radio
[=] IDENTIQUE fe-refresh-ccw                  icon-refresh-ccw
[=] IDENTIQUE fe-refresh-cw                   icon-refresh-cw
[=] IDENTIQUE fe-repeat                       icon-repeat
[=] IDENTIQUE fe-rewind                       icon-rewind
[=] IDENTIQUE fe-rotate-ccw                   icon-rotate-ccw
[=] IDENTIQUE fe-rotate-cw                    icon-rotate-cw
[=] IDENTIQUE fe-rss                          icon-rss
[=] IDENTIQUE fe-save                         icon-save
[=] IDENTIQUE fe-scissors                     icon-scissors
[=] IDENTIQUE fe-search                       icon-search
[=] IDENTIQUE fe-send                         icon-send
[=] IDENTIQUE fe-server                       icon-server
[=] IDENTIQUE fe-settings                     icon-settings
[=] IDENTIQUE fe-share                        icon-share
[=] IDENTIQUE fe-share-2                      icon-share-2
[=] IDENTIQUE fe-shield                       icon-shield
[=] IDENTIQUE fe-shield-off                   icon-shield-off
[=] IDENTIQUE fe-shopping-bag                 icon-shopping-bag
[=] IDENTIQUE fe-shopping-cart                icon-shopping-cart
[=] IDENTIQUE fe-shuffle                      icon-shuffle
[=] IDENTIQUE fe-sidebar                      icon-sidebar
[=] IDENTIQUE fe-skip-back                    icon-skip-back
[=] IDENTIQUE fe-skip-forward                 icon-skip-forward
[=] IDENTIQUE fe-slack                        icon-slack
[=] IDENTIQUE fe-slash                        icon-slash
[>] RENOMMEE  fe-sliders                      icon-sliders-horizontal
[=] IDENTIQUE fe-smartphone                   icon-smartphone
[=] IDENTIQUE fe-speaker                      icon-speaker
[=] IDENTIQUE fe-square                       icon-square
[=] IDENTIQUE fe-star                         icon-star
[>] RENOMMEE  fe-stop-circle                  icon-circle-stop
[=] IDENTIQUE fe-sun                          icon-sun
[=] IDENTIQUE fe-sunrise                      icon-sunrise
[=] IDENTIQUE fe-sunset                       icon-sunset
[=] IDENTIQUE fe-tablet                       icon-tablet
[=] IDENTIQUE fe-tag                          icon-tag
[=] IDENTIQUE fe-target                       icon-target
[=] IDENTIQUE fe-terminal                     icon-terminal
[=] IDENTIQUE fe-thermometer                  icon-thermometer
[=] IDENTIQUE fe-thumbs-down                  icon-thumbs-down
[=] IDENTIQUE fe-thumbs-up                    icon-thumbs-up
[=] IDENTIQUE fe-toggle-left                  icon-toggle-left
[=] IDENTIQUE fe-toggle-right                 icon-toggle-right
[=] IDENTIQUE fe-trash                        icon-trash
[=] IDENTIQUE fe-trash-2                      icon-trash-2
[=] IDENTIQUE fe-trending-down                icon-trending-down
[=] IDENTIQUE fe-trending-up                  icon-trending-up
[=] IDENTIQUE fe-triangle                     icon-triangle
[=] IDENTIQUE fe-truck                        icon-truck
[=] IDENTIQUE fe-tv                           icon-tv
[=] IDENTIQUE fe-twitter                      icon-twitter
[=] IDENTIQUE fe-type                         icon-type
[=] IDENTIQUE fe-umbrella                     icon-umbrella
[=] IDENTIQUE fe-underline                    icon-underline
[=] IDENTIQUE fe-unlock                       icon-unlock
[=] IDENTIQUE fe-upload                       icon-upload
[=] IDENTIQUE fe-upload-cloud                 icon-upload-cloud
[=] IDENTIQUE fe-user                         icon-user
[=] IDENTIQUE fe-user-check                   icon-user-check
[=] IDENTIQUE fe-user-minus                   icon-user-minus
[=] IDENTIQUE fe-user-plus                    icon-user-plus
[=] IDENTIQUE fe-user-x                       icon-user-x
[=] IDENTIQUE fe-users                        icon-users
[=] IDENTIQUE fe-video                        icon-video
[=] IDENTIQUE fe-video-off                    icon-video-off
[=] IDENTIQUE fe-voicemail                    icon-voicemail
[=] IDENTIQUE fe-volume                       icon-volume
[=] IDENTIQUE fe-volume-1                     icon-volume-1
[=] IDENTIQUE fe-volume-2                     icon-volume-2
[=] IDENTIQUE fe-volume-x                     icon-volume-x
[=] IDENTIQUE fe-watch                        icon-watch
[=] IDENTIQUE fe-wifi                         icon-wifi
[=] IDENTIQUE fe-wifi-off                     icon-wifi-off
[=] IDENTIQUE fe-wind                         icon-wind
[=] IDENTIQUE fe-x                            icon-x
[>] RENOMMEE  fe-x-circle                     icon-circle-x
[>] RENOMMEE  fe-x-square                     icon-square-x
[=] IDENTIQUE fe-zap                          icon-zap
[=] IDENTIQUE fe-zap-off                      icon-zap-off
[=] IDENTIQUE fe-zoom-in                      icon-zoom-in
[=] IDENTIQUE fe-zoom-out                     icon-zoom-out

========================================================================
B. RÉCAPITULATIF (263 icônes Feather au total)
========================================================================

  [=] Identiques  : 237  (préfixe seul change, .fe- -> .icon-)
  [>] Renommées   : 26  (nom différent dans Lucide)
  [?] Supprimées  : 0  (absentes de Lucide -> fallback icon-file-question)
  [+] Nouvelles   : 1688  (disponibles dans Lucide, sans équivalent Feather)

========================================================================
D. NOUVELLES ICÔNES LUCIDE SANS ÉQUIVALENT FEATHER (1688)
========================================================================

  Utilisez-les avec : <i class="icon-NOM"></i>

  icon-a-arrow-down                          icon-a-arrow-up                            icon-a-large-small                         icon-accessibility
  icon-activity-square                       icon-air-vent                              icon-alarm-check                           icon-alarm-clock
  icon-alarm-clock-check                     icon-alarm-clock-minus                     icon-alarm-clock-off                       icon-alarm-clock-plus
  icon-alarm-minus                           icon-alarm-plus                            icon-alarm-smoke                           icon-album
  icon-alert-circle                          icon-alert-octagon                         icon-alert-triangle                        icon-align-center-horizontal
  icon-align-center-vertical                 icon-align-end-horizontal                  icon-align-end-vertical                    icon-align-horizontal-distribute-center
  icon-align-horizontal-distribute-end       icon-align-horizontal-distribute-start     icon-align-horizontal-justify-center       icon-align-horizontal-justify-end
  icon-align-horizontal-justify-start        icon-align-horizontal-space-around         icon-align-horizontal-space-between        icon-align-start-horizontal
  icon-align-start-vertical                  icon-align-vertical-distribute-center      icon-align-vertical-distribute-end         icon-align-vertical-distribute-start
  icon-align-vertical-justify-center         icon-align-vertical-justify-end            icon-align-vertical-justify-start          icon-align-vertical-space-around
  icon-align-vertical-space-between          icon-ambulance                             icon-ampersand                             icon-ampersands
  icon-amphora                               icon-angry                                 icon-annoyed                               icon-antenna
  icon-anvil                                 icon-app-window                            icon-app-window-mac                        icon-apple
  icon-archive                               icon-archive-restore                       icon-archive-x                             icon-area-chart
  icon-armchair                              icon-arrow-big-down                        icon-arrow-big-down-dash                   icon-arrow-big-left
  icon-arrow-big-left-dash                   icon-arrow-big-right                       icon-arrow-big-right-dash                  icon-arrow-big-up
  icon-arrow-big-up-dash                     icon-arrow-down-0-1                        icon-arrow-down-01                         icon-arrow-down-1-0
  icon-arrow-down-10                         icon-arrow-down-a-z                        icon-arrow-down-az                         icon-arrow-down-circle
  icon-arrow-down-from-line                  icon-arrow-down-left-from-circle           icon-arrow-down-left-from-square           icon-arrow-down-left-square
  icon-arrow-down-narrow-wide                icon-arrow-down-right-from-circle          icon-arrow-down-right-from-square          icon-arrow-down-right-square
  icon-arrow-down-square                     icon-arrow-down-to-dot                     icon-arrow-down-to-line                    icon-arrow-down-up
  icon-arrow-down-wide-narrow                icon-arrow-down-z-a                        icon-arrow-down-za                         icon-arrow-left-circle
  icon-arrow-left-from-line                  icon-arrow-left-right                      icon-arrow-left-square                     icon-arrow-left-to-line
  icon-arrow-right-circle                    icon-arrow-right-from-line                 icon-arrow-right-left                      icon-arrow-right-square
  icon-arrow-right-to-line                   icon-arrow-up-0-1                          icon-arrow-up-01                           icon-arrow-up-1-0
  icon-arrow-up-10                           icon-arrow-up-a-z                          icon-arrow-up-az                           icon-arrow-up-circle
  icon-arrow-up-down                         icon-arrow-up-from-dot                     icon-arrow-up-from-line                    icon-arrow-up-left-from-circle
  icon-arrow-up-left-from-square             icon-arrow-up-left-square                  icon-arrow-up-narrow-wide                  icon-arrow-up-right-from-circle
  icon-arrow-up-right-from-square            icon-arrow-up-right-square                 icon-arrow-up-square                       icon-arrow-up-to-line
  icon-arrow-up-wide-narrow                  icon-arrow-up-z-a                          icon-arrow-up-za                           icon-arrows-up-from-line
  icon-asterisk                              icon-asterisk-square                       icon-atom                                  icon-audio-lines
  icon-audio-waveform                        icon-axe                                   icon-axis-3-d                              icon-axis-3d
  icon-baby                                  icon-backpack                              icon-badge                                 icon-badge-alert
  icon-badge-cent                            icon-badge-check                           icon-badge-dollar-sign                     icon-badge-euro
  icon-badge-help                            icon-badge-indian-rupee                    icon-badge-info                            icon-badge-japanese-yen
  icon-badge-minus                           icon-badge-percent                         icon-badge-plus                            icon-badge-pound-sterling
  icon-badge-question-mark                   icon-badge-russian-ruble                   icon-badge-swiss-franc                     icon-badge-turkish-lira
  icon-badge-x                               icon-baggage-claim                         icon-balloon                               icon-ban
  icon-banana                                icon-bandage                               icon-banknote                              icon-banknote-arrow-down
  icon-banknote-arrow-up                     icon-banknote-x                            icon-bar-chart-3                           icon-bar-chart-4
  icon-bar-chart-big                         icon-bar-chart-horizontal                  icon-bar-chart-horizontal-big              icon-barcode
  icon-barrel                                icon-baseline                              icon-bath                                  icon-battery-full
  icon-battery-low                           icon-battery-medium                        icon-battery-plus                          icon-battery-warning
  icon-beaker                                icon-bean                                  icon-bean-off                              icon-bed
  icon-bed-double                            icon-bed-single                            icon-beef                                  icon-beer
  icon-beer-off                              icon-bell-dot                              icon-bell-electric                         icon-bell-minus
  icon-bell-plus                             icon-bell-ring                             icon-between-horizonal-end                 icon-between-horizonal-start
  icon-between-horizontal-end                icon-between-horizontal-start              icon-between-vertical-end                  icon-between-vertical-start
  icon-biceps-flexed                         icon-bike                                  icon-binary                                icon-binoculars
  icon-biohazard                             icon-bird                                  icon-birdhouse                             icon-bitcoin
  icon-blend                                 icon-blinds                                icon-blocks                                icon-bluetooth-connected
  icon-bluetooth-off                         icon-bluetooth-searching                   icon-bolt                                  icon-bomb
  icon-bone                                  icon-book-a                                icon-book-alert                            icon-book-audio
  icon-book-check                            icon-book-copy                             icon-book-dashed                           icon-book-down
  icon-book-headphones                       icon-book-heart                            icon-book-image                            icon-book-key
  icon-book-lock                             icon-book-marked                           icon-book-minus                            icon-book-open-check
  icon-book-open-text                        icon-book-plus                             icon-book-search                           icon-book-template
  icon-book-text                             icon-book-type                             icon-book-up                               icon-book-up-2
  icon-book-user                             icon-book-x                                icon-bookmark-check                        icon-bookmark-minus
  icon-bookmark-plus                         icon-bookmark-x                            icon-boom-box                              icon-bot
  icon-bot-message-square                    icon-bot-off                               icon-bottle-wine                           icon-bow-arrow
  icon-box-select                            icon-boxes                                 icon-braces                                icon-brackets
  icon-brain                                 icon-brain-circuit                         icon-brain-cog                             icon-brick-wall
  icon-brick-wall-fire                       icon-brick-wall-shield                     icon-briefcase-business                    icon-briefcase-conveyor-belt
  icon-briefcase-medical                     icon-bring-to-front                        icon-brush                                 icon-brush-cleaning
  icon-bubbles                               icon-bug                                   icon-bug-off                               icon-bug-play
  icon-building                              icon-building-2                            icon-bus                                   icon-bus-front
  icon-cable                                 icon-cable-car                             icon-cake                                  icon-cake-slice
  icon-calculator                            icon-calendar-1                            icon-calendar-arrow-down                   icon-calendar-arrow-up
  icon-calendar-check                        icon-calendar-check-2                      icon-calendar-clock                        icon-calendar-cog
  icon-calendar-days                         icon-calendar-fold                         icon-calendar-heart                        icon-calendar-minus
  icon-calendar-minus-2                      icon-calendar-off                          icon-calendar-plus                         icon-calendar-plus-2
  icon-calendar-range                        icon-calendar-search                       icon-calendar-sync                         icon-calendar-x
  icon-calendar-x-2                          icon-calendars                             icon-candlestick-chart                     icon-candy
  icon-candy-cane                            icon-candy-off                             icon-cannabis                              icon-cannabis-off
  icon-captions                              icon-captions-off                          icon-car                                   icon-car-front
  icon-car-taxi-front                        icon-caravan                               icon-card-sim                              icon-carrot
  icon-case-lower                            icon-case-sensitive                        icon-case-upper                            icon-cassette-tape
  icon-castle                                icon-cat                                   icon-cctv                                  icon-chart-area
  icon-chart-bar                             icon-chart-bar-big                         icon-chart-bar-decreasing                  icon-chart-bar-increasing
  icon-chart-bar-stacked                     icon-chart-candlestick                     icon-chart-column                          icon-chart-column-big
  icon-chart-column-decreasing               icon-chart-column-increasing               icon-chart-column-stacked                  icon-chart-gantt
  icon-chart-line                            icon-chart-network                         icon-chart-no-axes-column                  icon-chart-no-axes-column-decreasing
  icon-chart-no-axes-column-increasing       icon-chart-no-axes-combined                icon-chart-no-axes-gantt                   icon-chart-pie
  icon-chart-scatter                         icon-chart-spline                          icon-check-check                           icon-check-circle
  icon-check-circle-2                        icon-check-line                            icon-check-square                          icon-check-square-2
  icon-chef-hat                              icon-cherry                                icon-chess-bishop                          icon-chess-king
  icon-chess-knight                          icon-chess-pawn                            icon-chess-queen                           icon-chess-rook
  icon-chevron-down-circle                   icon-chevron-down-square                   icon-chevron-first                         icon-chevron-last
  icon-chevron-left-circle                   icon-chevron-left-square                   icon-chevron-right-circle                  icon-chevron-right-square
  icon-chevron-up-circle                     icon-chevron-up-square                     icon-chevrons-down-up                      icon-chevrons-left-right
  icon-chevrons-left-right-ellipsis          icon-chevrons-right-left                   icon-chevrons-up-down                      icon-chromium
  icon-church                                icon-cigarette                             icon-cigarette-off                         icon-circle-arrow-out-down-left
  icon-circle-arrow-out-down-right           icon-circle-arrow-out-up-left              icon-circle-arrow-out-up-right             icon-circle-check-big
  icon-circle-chevron-down                   icon-circle-chevron-left                   icon-circle-chevron-right                  icon-circle-chevron-up
  icon-circle-dashed                         icon-circle-divide                         icon-circle-dollar-sign                    icon-circle-dot
  icon-circle-dot-dashed                     icon-circle-ellipsis                       icon-circle-equal                          icon-circle-fading-arrow-up
  icon-circle-fading-plus                    icon-circle-gauge                          icon-circle-off                            icon-circle-parking
  icon-circle-parking-off                    icon-circle-percent                        icon-circle-pile                           icon-circle-pound-sterling
  icon-circle-power                          icon-circle-question-mark                  icon-circle-slash                          icon-circle-slash-2
  icon-circle-slashed                        icon-circle-small                          icon-circle-star                           icon-circle-user
  icon-circle-user-round                     icon-circuit-board                         icon-citrus                                icon-clapperboard
  icon-clipboard-check                       icon-clipboard-clock                       icon-clipboard-copy                        icon-clipboard-edit
  icon-clipboard-list                        icon-clipboard-minus                       icon-clipboard-paste                       icon-clipboard-pen
  icon-clipboard-pen-line                    icon-clipboard-plus                        icon-clipboard-signature                   icon-clipboard-type
  icon-clipboard-x                           icon-clock-1                               icon-clock-10                              icon-clock-11
  icon-clock-12                              icon-clock-2                               icon-clock-3                               icon-clock-4
  icon-clock-5                               icon-clock-6                               icon-clock-7                               icon-clock-8
  icon-clock-9                               icon-clock-alert                           icon-clock-arrow-down                      icon-clock-arrow-up
  icon-clock-check                           icon-clock-fading                          icon-clock-plus                            icon-closed-caption
  icon-cloud-alert                           icon-cloud-backup                          icon-cloud-check                           icon-cloud-cog
  icon-cloud-download                        icon-cloud-fog                             icon-cloud-hail                            icon-cloud-moon
  icon-cloud-moon-rain                       icon-cloud-rain-wind                       icon-cloud-sun                             icon-cloud-sun-rain
  icon-cloud-sync                            icon-cloud-upload                          icon-cloudy                                icon-clover
  icon-club                                  icon-code-2                                icon-code-square                           icon-code-xml
  icon-codesandbox                           icon-coffee                                icon-cog                                   icon-coins
  icon-columns                               icon-columns-2                             icon-columns-3                             icon-columns-3-cog
  icon-columns-4                             icon-columns-settings                      icon-combine                               icon-component
  icon-computer                              icon-concierge-bell                        icon-cone                                  icon-construction
  icon-contact                               icon-contact-2                             icon-contact-round                         icon-container
  icon-contrast                              icon-cookie                                icon-cooking-pot                           icon-copy-check
  icon-copy-minus                            icon-copy-plus                             icon-copy-slash                            icon-copy-x
  icon-copyleft                              icon-copyright                             icon-creative-commons                      icon-croissant
  icon-cross                                 icon-crown                                 icon-cuboid                                icon-cup-soda
  icon-curly-braces                          icon-currency                              icon-cylinder                              icon-dam
  icon-database-backup                       icon-database-search                       icon-database-zap                          icon-decimals-arrow-left
  icon-decimals-arrow-right                  icon-dessert                               icon-diameter                              icon-diamond
  icon-diamond-minus                         icon-diamond-percent                       icon-diamond-plus                          icon-dice-1
  icon-dice-2                                icon-dice-3                                icon-dice-4                                icon-dice-5
  icon-dice-6                                icon-dices                                 icon-diff                                  icon-disc-2
  icon-disc-3                                icon-disc-album                            icon-divide                                icon-divide-circle
  icon-divide-square                         icon-dna                                   icon-dna-off                               icon-dock
  icon-dog                                   icon-donut                                 icon-door-closed                           icon-door-closed-locked
  icon-door-open                             icon-dot                                   icon-dot-square                            icon-drafting-compass
  icon-drama                                 icon-dribbble                              icon-drill                                 icon-drone
  icon-droplet-off                           icon-droplets                              icon-drum                                  icon-drumstick
  icon-dumbbell                              icon-ear                                   icon-ear-off                               icon-earth
  icon-earth-lock                            icon-eclipse                               icon-edit                                  icon-edit-2
  icon-edit-3                                icon-egg                                   icon-egg-fried                             icon-egg-off
  icon-ellipse                               icon-equal                                 icon-equal-approximately                   icon-equal-not
  icon-equal-square                          icon-eraser                                icon-ethernet-port                         icon-euro
  icon-ev-charger                            icon-expand                                icon-eye-closed                            icon-factory
  icon-fan                                   icon-fence                                 icon-ferris-wheel                          icon-figma
  icon-file-archive                          icon-file-audio                            icon-file-audio-2                          icon-file-axis-3-d
  icon-file-axis-3d                          icon-file-badge                            icon-file-badge-2                          icon-file-bar-chart
  icon-file-bar-chart-2                      icon-file-box                              icon-file-braces                           icon-file-braces-corner
